reward_mode,schedule,seed,first_success_episode,episodes_to_90pct_success,final_train_success_rate,eval_success_rate,eval_death_rate,eval_mean_return,eval_mean_steps,eval_mean_energy_left,eval_penalty_entries_per_ep,eval_wall_hits_per_ep,visited_states,vi_policy_agreement
sparse,linear,7,10659,32501,0.97,0.988,0.012,159.79,66.12,31.24,0.528,3.162,26037,0.3932
sparse,linear,21,9754,33156,0.99,0.992,0.008,160.58,71.06,27.6,0.268,2.736,25668,0.3961
sparse,linear,42,10339,32012,0.98,0.996,0.004,164.64,66.47,31.27,0.452,2.654,25545,0.3913
sparse,exponential,7,8467,30987,0.96,0.984,0.016,161.97,67.31,31.25,0.288,2.688,25630,0.3902
sparse,exponential,21,3777,31932,0.98,0.996,0.004,158.33,68.57,28.02,0.682,3.056,26136,0.3937
sparse,exponential,42,4641,31205,0.99,0.996,0.004,163.65,66.87,31.14,0.398,2.88,25707,0.3949
shaped,linear,7,4045,9874,0.99,0.998,0.002,161.13,68.23,29.98,0.358,3.312,16466,0.5884
shaped,linear,21,4196,9906,1.0,0.998,0.002,166.98,65.35,33.13,0.304,2.826,16784,0.5829
shaped,linear,42,4639,9780,1.0,0.996,0.004,162.52,67.73,30.72,0.31,3.11,16508,0.5897
shaped,exponential,7,1559,5931,0.99,0.998,0.002,167.8,64.58,33.67,0.35,2.724,16542,0.5744
shaped,exponential,21,1729,5379,1.0,1.0,0.0,166.02,65.1,33.2,0.34,3.096,16600,0.5743
shaped,exponential,42,2569,5607,1.0,0.998,0.002,167.7,63.28,35.44,0.256,3.192,17302,0.5739
