episode,step,r,c,has_key,energy,action,reward,next_r,next_c,next_has_key,next_energy,events,q_before,max_next_q,td_target,td_error,q_after,alpha,gamma,epsilon
7500,1,0,1,0,100,2,1.6000000000000014,0,0,0,99,move,5.847821,6.195884,7.48609,1.638269,6.011648,0.1,0.95,0.1538
7500,2,0,0,0,99,1,-0.34999999999999787,0,1,0,98,move,6.195884,6.600355,5.920337,-0.275547,6.16833,0.1,0.95,0.1538
7500,3,0,1,0,98,2,-4.349999999999998,0,1,0,97,wall_hit,6.600355,5.807086,1.166732,-5.433623,6.056993,0.1,0.95,0.1538
7500,4,0,1,0,97,2,1.6000000000000014,0,0,0,96,move,5.807086,5.460502,6.787477,0.98039,5.905125,0.1,0.95,0.1538
7500,5,0,0,0,96,3,-0.34999999999999787,0,1,0,95,move,5.460502,5.743559,5.106381,-0.354121,5.42509,0.1,0.95,0.1538
7500,6,0,1,0,95,0,-0.29999999999999716,0,2,0,94,move,2.267047,5.332764,4.766126,2.499079,2.516955,0.1,0.95,0.1538
7500,7,0,2,0,94,2,1.6500000000000021,0,1,0,93,move,5.332764,4.842168,6.25006,0.917296,5.424494,0.1,0.95,0.1538
7500,8,0,1,0,93,2,1.6000000000000014,0,0,0,92,move,4.842168,5.73698,7.050131,2.207963,5.062965,0.1,0.95,0.1538
7500,9,0,0,0,92,1,1.5500000000000007,1,0,0,91,move,5.73698,6.744456,7.957233,2.220253,5.959006,0.1,0.95,0.1538
7500,10,1,0,0,91,1,1.5,2,0,0,90,move,6.744456,7.039178,8.187219,1.442763,6.888732,0.1,0.95,0.1538
7500,11,2,0,0,90,3,-0.4499999999999993,1,0,0,89,move,7.039178,5.543017,4.815867,-2.223312,6.816847,0.1,0.95,0.1538
7500,12,1,0,0,89,1,1.5,2,0,0,88,move,5.543017,5.789049,6.999597,1.456579,5.688675,0.1,0.95,0.1538
7500,13,2,0,0,88,0,-0.4499999999999993,1,0,0,87,move,3.605972,5.756635,5.018804,1.412831,3.747256,0.1,0.95,0.1538
7500,14,1,0,0,87,1,-4.449999999999999,1,0,0,86,wall_hit,5.756635,7.366194,2.547885,-3.208751,5.43576,0.1,0.95,0.1538
7500,15,1,0,0,86,1,1.5,2,0,0,85,move,7.366194,6.830815,7.989275,0.62308,7.428502,0.1,0.95,0.1538
7500,16,2,0,0,85,1,1.4500000000000028,3,0,0,84,move,6.830815,7.123799,8.217609,1.386793,6.969495,0.1,0.95,0.1538
7500,17,3,0,0,84,1,-4.549999999999997,3,0,0,83,wall_hit,7.123799,7.035698,2.133913,-4.989886,6.62481,0.1,0.95,0.1538
7500,18,3,0,0,83,1,1.4000000000000021,4,0,0,82,move,7.035698,7.027044,8.075692,1.039994,7.139697,0.1,0.95,0.1538
7500,19,4,0,0,82,3,1.3500000000000014,4,1,0,81,move,7.027044,6.891323,7.896757,0.869713,7.114015,0.1,0.95,0.1538
7500,20,4,1,0,81,1,1.3000000000000007,5,1,0,80,move,6.891323,6.415876,7.395082,0.503759,6.941699,0.1,0.95,0.1538
7500,21,5,1,0,80,1,1.25,6,1,0,79,move,6.415876,5.490347,6.46583,0.049954,6.420871,0.1,0.95,0.1538
7500,22,6,1,0,79,3,1.2000000000000028,6,2,0,78,move,5.490347,5.309178,6.243719,0.753372,5.565685,0.1,0.95,0.1538
7500,23,6,2,0,78,0,-0.75,5,2,0,77,move,5.309178,6.759972,5.671973,0.362795,5.345458,0.1,0.95,0.1538
7500,24,5,2,0,77,3,-0.6999999999999993,4,2,0,76,move,6.759972,6.410259,5.389747,-1.370226,6.622949,0.1,0.95,0.1538
7500,25,4,2,0,76,1,-4.699999999999999,4,2,0,75,wall_hit,6.410259,6.062432,1.05931,-5.350949,5.875165,0.1,0.95,0.1538
7500,26,4,2,0,75,1,-0.6499999999999986,4,1,0,74,move,6.062432,6.13663,5.179798,-0.882633,5.974168,0.1,0.95,0.1538
7500,27,4,1,0,74,1,1.3000000000000007,5,1,0,73,move,6.13663,6.05849,7.055566,0.918936,6.228523,0.1,0.95,0.1538
7500,28,5,1,0,73,3,1.25,6,1,0,72,move,6.05849,3.988698,5.039264,-1.019226,5.956567,0.1,0.95,0.1538
7500,29,6,1,0,72,3,1.2000000000000028,6,2,0,71,move,3.988698,4.993784,5.944095,1.955397,4.184238,0.1,0.95,0.1538
7500,30,6,2,0,71,0,-0.75,5,2,0,70,move,4.993784,5.157533,4.149656,-0.844128,4.909371,0.1,0.95,0.1538
7500,31,5,2,0,70,2,-0.6999999999999993,5,1,0,69,move,2.367692,5.365496,4.397221,2.029529,2.570645,0.1,0.95,0.1538
7500,32,5,1,0,69,3,1.25,5,2,0,68,move,5.365496,5.626944,6.595597,1.230101,5.488506,0.1,0.95,0.1538
7500,33,5,2,0,68,1,1.2000000000000028,6,2,0,67,move,5.626944,6.118678,7.012744,1.385799,5.765524,0.1,0.95,0.1538
7500,34,6,2,0,67,3,1.1500000000000021,6,3,0,66,move,6.118678,6.923864,7.727671,1.608993,6.279577,0.1,0.95,0.1538
7500,35,6,3,0,66,3,1.1000000000000014,6,4,0,65,move,6.923864,7.451831,8.179239,1.255375,7.049401,0.1,0.95,0.1538
7500,36,6,4,0,65,0,-4.899999999999999,6,4,0,64,wall_hit,-1.726539,4.767347,-0.37102,1.355519,-1.590987,0.1,0.95,0.1538
7500,37,6,4,0,64,1,1.0500000000000007,7,4,0,63,move,4.767347,7.871964,8.528365,3.761018,5.143449,0.1,0.95,0.1538
7500,38,7,4,0,63,1,1.0,8,4,0,62,move,7.871964,9.094014,9.639313,1.76735,8.048698,0.1,0.95,0.1538
7500,39,8,4,0,62,2,-0.9499999999999993,8,3,0,61,move,9.094014,10.699289,9.214324,0.120311,9.106045,0.1,0.95,0.1538
