episode,step,r,c,has_key,energy,action,reward,next_r,next_c,next_has_key,next_energy,next_action,events,q_before,next_q,td_target,delta,q_after,active_traces,alpha,gamma,lambda,epsilon
29900,1,0,1,0,100,2,-1.0,0,0,0,99,1,move,-19.971417,-18.957438,-19.009566,0.961851,-19.875232,1,0.1,0.95,0.9,0.05
29900,2,0,0,0,99,1,-1.0,1,0,0,98,1,move,-18.957438,-16.651001,-16.818451,2.138986,-18.743539,2,0.1,0.95,0.9,0.05
29900,3,1,0,0,98,1,-6.0,1,0,0,97,1,wall_hit,-16.651001,-17.826193,-22.934884,-6.283882,-17.27939,3,0.1,0.95,0.9,0.05
29900,4,1,0,0,97,1,-1.0,2,0,0,96,1,move,-17.826193,-15.652594,-15.869964,1.956229,-17.63057,4,0.1,0.95,0.9,0.05
29900,5,2,0,0,96,1,-1.0,2,1,0,95,2,move,-15.652594,-13.635216,-13.953455,1.699139,-15.48268,5,0.1,0.95,0.9,0.05
29900,6,2,1,0,95,2,-1.0,2,0,0,94,1,move,-13.635216,-13.164978,-13.506729,0.128487,-13.622367,6,0.1,0.95,0.9,0.05
29900,7,2,0,0,94,1,-1.0,3,0,0,93,1,move,-13.164978,-12.816439,-13.175617,-0.010639,-13.166042,7,0.1,0.95,0.9,0.05
29900,8,3,0,0,93,1,-1.0,4,0,0,92,3,move,-12.816439,-9.766683,-10.278349,2.53809,-12.56263,8,0.1,0.95,0.9,0.05
29900,9,4,0,0,92,3,-1.0,4,1,0,91,1,move,-9.766683,-9.369443,-9.900971,-0.134288,-9.780112,9,0.1,0.95,0.9,0.05
29900,10,4,1,0,91,1,-1.0,5,1,0,90,3,move,-9.369443,-8.826326,-9.38501,-0.015566,-9.371,10,0.1,0.95,0.9,0.05
29900,11,5,1,0,90,3,-1.0,4,1,0,89,1,move,-8.826326,-7.356273,-7.988459,0.837867,-8.742539,11,0.1,0.95,0.9,0.05
29900,12,4,1,0,89,1,-1.0,4,2,0,88,2,move,-7.356273,-7.425746,-8.054459,-0.698186,-7.426091,12,0.1,0.95,0.9,0.05
29900,13,4,2,0,88,2,-1.0,4,1,0,87,1,move,-7.425746,-5.749151,-6.461693,0.964053,-7.329341,13,0.1,0.95,0.9,0.05
29900,14,4,1,0,87,1,-1.0,5,1,0,86,1,move,-5.749151,-5.073051,-5.819398,-0.070248,-5.756175,14,0.1,0.95,0.9,0.05
29900,15,5,1,0,86,1,-1.0,6,1,0,85,0,move,-5.073051,-3.49938,-4.324411,0.74864,-4.998187,15,0.1,0.95,0.9,0.05
29900,16,6,1,0,85,0,-1.0,6,0,0,84,0,move,-3.49938,-18.56359,-18.63541,-15.13603,-5.012983,16,0.1,0.95,0.9,0.05
29900,17,6,0,0,84,0,-1.0,5,0,0,83,3,move,-18.56359,-2.542264,-3.41515,15.148439,-17.048746,17,0.1,0.95,0.9,0.05
29900,18,5,0,0,83,3,-1.0,5,1,0,82,3,move,-2.542264,-1.83753,-2.745654,-0.20339,-2.562603,18,0.1,0.95,0.9,0.05
29900,19,5,1,0,82,3,-1.0,5,2,0,81,3,move,-1.83753,-1.056942,-2.004095,-0.166565,-1.854187,19,0.1,0.95,0.9,0.05
29900,20,5,2,0,81,3,-1.0,5,3,0,80,1,move,-1.056942,1.045381,-0.006888,1.050054,-0.951937,20,0.1,0.95,0.9,0.05
29900,21,5,3,0,80,1,-6.0,5,3,0,79,1,wall_hit,1.045381,2.144293,-3.962922,-5.008303,0.544551,21,0.1,0.95,0.9,0.05
29900,22,5,3,0,79,1,-1.0,6,3,0,78,1,move,2.144293,3.616311,2.435495,0.291202,2.173413,22,0.1,0.95,0.9,0.05
