lambda,seed,first_success_episode,episodes_to_90pct_success,final_train_success_rate,late_return_std,eval_success_rate,eval_death_rate,eval_mean_return,eval_mean_steps,eval_mean_energy_left,eval_penalty_entries_per_ep,eval_wall_hits_per_ep,visited_states,vi_policy_agreement
0.0,7,7283,,0.63,149.51,0.668,0.332,68.32,76.37,22.54,0.232,3.938,25738,0.3711
0.0,21,5715,,0.7,141.79,0.638,0.362,58.92,77.52,21.03,0.312,3.968,25722,0.3739
0.0,42,8240,,0.61,144.01,0.66,0.34,64.02,78.58,19.89,0.316,3.808,25627,0.3774
0.3,7,6438,20864,0.98,62.3,0.98,0.02,157.78,68.98,30.17,0.17,3.268,24321,0.3865
0.3,21,6182,19512,0.98,58.75,0.978,0.022,155.38,68.16,30.06,0.356,3.34,23970,0.382
0.3,42,6036,19323,0.98,43.39,0.996,0.004,163.66,68.93,30.22,0.17,2.942,24052,0.3842
0.7,7,5770,10917,0.97,45.1,0.99,0.01,158.59,67.83,31.06,0.222,3.772,21991,0.3775
0.7,21,5252,11650,0.97,50.19,0.992,0.008,154.94,71.58,27.38,0.208,3.88,22535,0.3815
0.7,42,4924,11221,0.98,39.56,0.994,0.006,160.63,67.26,32.01,0.146,3.83,22935,0.3825
0.9,7,5877,10478,0.97,55.53,0.99,0.01,146.44,74.39,23.55,0.412,4.51,19918,0.3729
0.9,21,3076,8935,0.96,54.58,0.994,0.006,148.11,73.19,25.31,0.3,4.82,19904,0.3801
0.9,42,5816,10372,0.98,50.27,0.994,0.006,146.92,74.81,23.05,0.428,4.498,19159,0.3818
