episode,step,r,c,has_key,energy,action,E
29900,1,0,1,0,100,2,0.855
29900,2,0,1,0,100,2,0.731025
29900,2,0,0,0,99,1,0.855
29900,3,0,1,0,100,2,0.625026
29900,3,0,0,0,99,1,0.731025
29900,3,1,0,0,98,1,0.855
29900,4,0,1,0,100,2,0.534398
29900,4,0,0,0,99,1,0.625026
29900,4,1,0,0,98,1,0.731025
29900,4,1,0,0,97,1,0.855
29900,5,0,1,0,100,2,0.45691
29900,5,0,0,0,99,1,0.534398
29900,5,1,0,0,98,1,0.625026
29900,5,1,0,0,97,1,0.731025
29900,5,2,0,0,96,1,0.855
29900,6,0,1,0,100,2,0.390658
29900,6,0,0,0,99,1,0.45691
29900,6,1,0,0,98,1,0.534398
29900,6,1,0,0,97,1,0.625026
29900,6,2,0,0,96,1,0.731025
29900,6,2,1,0,95,2,0.855
29900,7,0,1,0,100,2,0.334013
29900,7,0,0,0,99,1,0.390658
29900,7,1,0,0,98,1,0.45691
29900,7,1,0,0,97,1,0.534398
29900,7,2,0,0,96,1,0.625026
29900,7,2,1,0,95,2,0.731025
29900,7,2,0,0,94,1,0.855
29900,8,0,1,0,100,2,0.285581
29900,8,0,0,0,99,1,0.334013
29900,8,1,0,0,98,1,0.390658
29900,8,1,0,0,97,1,0.45691
29900,8,2,0,0,96,1,0.534398
29900,8,2,1,0,95,2,0.625026
29900,8,2,0,0,94,1,0.731025
29900,8,3,0,0,93,1,0.855
29900,9,0,1,0,100,2,0.244172
29900,9,0,0,0,99,1,0.285581
29900,9,1,0,0,98,1,0.334013
29900,9,1,0,0,97,1,0.390658
29900,9,2,0,0,96,1,0.45691
29900,9,2,1,0,95,2,0.534398
29900,9,2,0,0,94,1,0.625026
29900,9,3,0,0,93,1,0.731025
29900,9,4,0,0,92,3,0.855
29900,10,0,1,0,100,2,0.208767
29900,10,0,0,0,99,1,0.244172
29900,10,1,0,0,98,1,0.285581
29900,10,1,0,0,97,1,0.334013
29900,10,2,0,0,96,1,0.390658
29900,10,2,1,0,95,2,0.45691
29900,10,2,0,0,94,1,0.534398
29900,10,3,0,0,93,1,0.625026
29900,10,4,0,0,92,3,0.731025
29900,10,4,1,0,91,1,0.855
29900,11,0,1,0,100,2,0.178495
29900,11,0,0,0,99,1,0.208767
29900,11,1,0,0,98,1,0.244172
29900,11,1,0,0,97,1,0.285581
29900,11,2,0,0,96,1,0.334013
29900,11,2,1,0,95,2,0.390658
29900,11,2,0,0,94,1,0.45691
29900,11,3,0,0,93,1,0.534398
29900,11,4,0,0,92,3,0.625026
29900,11,4,1,0,91,1,0.731025
29900,11,5,1,0,90,3,0.855
29900,12,0,1,0,100,2,0.152614
29900,12,0,0,0,99,1,0.178495
29900,12,1,0,0,98,1,0.208767
29900,12,1,0,0,97,1,0.244172
29900,12,2,0,0,96,1,0.285581
29900,12,2,1,0,95,2,0.334013
29900,12,2,0,0,94,1,0.390658
29900,12,3,0,0,93,1,0.45691
29900,12,4,0,0,92,3,0.534398
29900,12,4,1,0,91,1,0.625026
29900,12,5,1,0,90,3,0.731025
29900,12,4,1,0,89,1,0.855
29900,13,0,1,0,100,2,0.130485
29900,13,0,0,0,99,1,0.152614
29900,13,1,0,0,98,1,0.178495
29900,13,1,0,0,97,1,0.208767
29900,13,2,0,0,96,1,0.244172
29900,13,2,1,0,95,2,0.285581
29900,13,2,0,0,94,1,0.334013
29900,13,3,0,0,93,1,0.390658
29900,13,4,0,0,92,3,0.45691
29900,13,4,1,0,91,1,0.534398
29900,13,5,1,0,90,3,0.625026
29900,13,4,1,0,89,1,0.731025
29900,13,4,2,0,88,2,0.855
29900,14,0,1,0,100,2,0.111564
29900,14,0,0,0,99,1,0.130485
29900,14,1,0,0,98,1,0.152614
29900,14,1,0,0,97,1,0.178495
29900,14,2,0,0,96,1,0.208767
29900,14,2,1,0,95,2,0.244172
29900,14,2,0,0,94,1,0.285581
29900,14,3,0,0,93,1,0.334013
29900,14,4,0,0,92,3,0.390658
29900,14,4,1,0,91,1,0.45691
29900,14,5,1,0,90,3,0.534398
29900,14,4,1,0,89,1,0.625026
29900,14,4,2,0,88,2,0.731025
29900,14,4,1,0,87,1,0.855
29900,15,0,1,0,100,2,0.095388
29900,15,0,0,0,99,1,0.111564
29900,15,1,0,0,98,1,0.130485
29900,15,1,0,0,97,1,0.152614
29900,15,2,0,0,96,1,0.178495
29900,15,2,1,0,95,2,0.208767
29900,15,2,0,0,94,1,0.244172
29900,15,3,0,0,93,1,0.285581
29900,15,4,0,0,92,3,0.334013
29900,15,4,1,0,91,1,0.390658
29900,15,5,1,0,90,3,0.45691
29900,15,4,1,0,89,1,0.534398
29900,15,4,2,0,88,2,0.625026
29900,15,4,1,0,87,1,0.731025
29900,15,5,1,0,86,1,0.855
29900,16,0,1,0,100,2,0.081556
29900,16,0,0,0,99,1,0.095388
29900,16,1,0,0,98,1,0.111564
29900,16,1,0,0,97,1,0.130485
29900,16,2,0,0,96,1,0.152614
29900,16,2,1,0,95,2,0.178495
29900,16,2,0,0,94,1,0.208767
