target,scenario,seed,initial_states,jumpstart_success,jumpstart_return,first_success_episode,episodes_to_90pct_success,early_mean_return,final_success_rate,final_death_rate,final_mean_return,final_mean_steps,final_mean_energy_left,final_penalty_entries_per_ep,final_wall_hits_per_ep,vi_optimal_return
similar,scratch,7,0,0.0,-577.45,185,3094,-108.53,0.992,0.008,167.32,64.74,34.31,0.19,2.808,194.6
similar,scratch,21,0,0.0,-577.45,289,3477,-104.24,1.0,0.0,166.39,63.63,34.52,0.37,3.256,194.6
similar,scratch,42,0,0.0,-577.45,201,3189,-101.49,0.998,0.002,163.91,69.75,29.08,0.234,2.7,194.6
similar,full,7,16542,0.615,-74.22,3,1258,0.19,1.0,0.0,168.51,64.5,34.23,0.254,2.89,194.6
similar,full,21,16542,0.615,-74.22,1,1386,-9.84,1.0,0.0,169.45,63.44,35.4,0.232,2.958,194.6
similar,full,42,16542,0.615,-74.22,2,1119,5.92,1.0,0.0,167.45,65.15,33.62,0.246,2.988,194.6
similar,scaled_0.25,7,16542,0.615,-74.22,3,6162,2.72,0.998,0.002,170.26,63.38,35.05,0.314,2.544,194.6
similar,scaled_0.25,21,16542,0.615,-74.22,1,5089,24.79,1.0,0.0,170.55,63.97,35.05,0.196,2.704,194.6
similar,scaled_0.25,42,16542,0.615,-74.22,2,5498,16.45,1.0,0.0,172.18,60.48,37.24,0.456,2.556,194.6
similar,scaled_0.5,7,16542,0.615,-74.22,3,1695,0.79,1.0,0.0,170.82,63.44,35.39,0.234,2.68,194.6
similar,scaled_0.5,21,16542,0.615,-74.22,1,1557,13.18,1.0,0.0,169.89,63.71,35.19,0.22,2.84,194.6
similar,scaled_0.5,42,16542,0.615,-74.22,2,1309,3.28,1.0,0.0,171.21,63.85,35.15,0.2,2.588,194.6
similar,scaled_0.75,7,16542,0.615,-74.22,3,1241,19.04,1.0,0.0,167.63,65.21,33.43,0.272,2.888,194.6
similar,scaled_0.75,21,16542,0.615,-74.22,1,1216,-2.63,0.998,0.002,164.58,66.24,32.56,0.24,3.256,194.6
similar,scaled_0.75,42,16542,0.615,-74.22,2,1545,-1.39,1.0,0.0,170.19,62.97,35.7,0.266,2.836,194.6
similar,selective,7,8301,0.0,-488.95,10,3499,-50.81,0.994,0.006,158.84,72.29,26.15,0.312,2.83,194.6
similar,selective,21,8301,0.0,-488.95,14,3460,-55.5,0.992,0.008,155.65,72.81,25.7,0.298,3.312,194.6
similar,selective,42,8301,0.0,-488.95,23,2922,-49.02,0.998,0.002,160.26,73.17,25.7,0.226,2.762,194.6
different,scratch,7,0,0.0,-572.67,591,,-96.29,0.878,0.122,105.23,90.85,6.95,0.44,3.784,182.99
different,scratch,21,0,0.0,-572.67,764,,-88.57,0.85,0.15,101.4,87.32,10.39,0.458,3.72,182.99
different,scratch,42,0,0.0,-572.67,625,,-81.7,0.88,0.12,106.96,89.56,8.39,0.41,3.816,182.99
different,full,7,16542,0.0,-528.62,3555,,-114.58,0.014,0.986,-149.31,98.23,0.13,0.348,3.4,182.99
different,full,21,16542,0.0,-528.62,2395,,-107.93,0.044,0.956,-152.44,97.66,0.88,0.324,3.746,182.99
different,full,42,16542,0.0,-528.62,4038,,-108.68,0.042,0.958,-155.82,98.03,0.4,0.324,4.21,182.99
different,scaled_0.25,7,16542,0.0,-528.62,3679,,-119.45,0.018,0.982,-169.1,96.95,0.42,0.542,5.912,182.99
different,scaled_0.25,21,16542,0.0,-528.62,3361,,-117.74,0.006,0.994,-168.01,96.75,0.08,0.648,5.962,182.99
different,scaled_0.25,42,16542,0.0,-528.62,4938,,-117.17,0.006,0.994,-156.58,96.72,0.11,0.656,5.81,182.99
different,scaled_0.5,7,16542,0.0,-528.62,6349,,-116.95,0.024,0.976,-167.64,97.15,0.47,0.496,5.184,182.99
different,scaled_0.5,21,16542,0.0,-528.62,7079,,-106.09,0.012,0.988,-163.92,97.03,0.1,0.602,5.57,182.99
different,scaled_0.5,42,16542,0.0,-528.62,4274,,-109.39,0.008,0.992,-160.69,97.52,0.1,0.496,5.122,182.99
different,scaled_0.75,7,16542,0.0,-528.62,6819,,-113.37,0.04,0.96,-157.24,98.09,0.6,0.264,4.422,182.99
different,scaled_0.75,21,16542,0.0,-528.62,8670,,-108.94,0.026,0.974,-159.74,98.13,0.35,0.326,4.19,182.99
different,scaled_0.75,42,16542,0.0,-528.62,13359,,-106.84,0.022,0.978,-158.26,98.64,0.21,0.256,3.908,182.99
different,selective,7,3499,0.0,-558.8,590,25091,-94.79,0.966,0.034,140.53,78.16,19.44,0.48,3.582,182.99
different,selective,21,3499,0.0,-558.8,642,37511,-91.3,0.954,0.046,134.15,79.86,17.49,0.534,3.77,182.99
different,selective,42,3499,0.0,-558.8,620,,-99.14,0.838,0.162,90.91,87.08,8.26,0.934,4.234,182.99
