target,scenario,seed,initial_states,jumpstart_success,jumpstart_return,first_success_episode,episodes_to_90pct_success,early_mean_return,final_success_rate,final_mean_return,final_mean_steps,final_penalty_entries_per_ep,final_wall_hits_per_ep,final_gate_blocked_per_ep,vi_optimal_return
similar,scratch,7,0,0.0,-3670.38,78,835,-1163.32,1.0,176.02,56.27,0.19,3.026,0.338,192.47
similar,scratch,21,0,0.0,-3670.38,12,536,-1152.7,1.0,181.21,51.66,0.266,2.75,0.36,192.47
similar,scratch,42,0,0.0,-3670.38,37,782,-1128.44,1.0,185.7,51.03,0.232,2.102,0.22,192.47
similar,full,7,2724,1.0,-138.56,0,99,51.98,1.0,184.72,48.14,0.296,2.674,0.404,192.47
similar,full,21,2724,1.0,-138.56,0,99,61.93,1.0,185.14,47.73,0.258,2.764,0.366,192.47
similar,full,42,2724,1.0,-138.56,0,99,66.08,1.0,184.98,47.72,0.294,2.734,0.344,192.47
similar,scaled_0.25,7,2724,1.0,-138.56,0,99,53.86,1.0,188.91,45.7,0.244,2.44,0.376,192.47
similar,scaled_0.25,21,2724,1.0,-138.56,0,99,42.41,1.0,190.17,45.57,0.234,2.262,0.306,192.47
similar,scaled_0.25,42,2724,1.0,-138.56,0,99,36.32,1.0,191.54,44.37,0.252,2.186,0.318,192.47
similar,scaled_0.5,7,2724,1.0,-138.56,0,99,62.44,1.0,187.66,46.52,0.286,2.434,0.396,192.47
similar,scaled_0.5,21,2724,1.0,-138.56,0,99,77.04,1.0,190.19,45.36,0.208,2.332,0.358,192.47
similar,scaled_0.5,42,2724,1.0,-138.56,0,99,74.5,1.0,188.73,45.17,0.226,2.606,0.406,192.47
similar,scaled_0.75,7,2724,1.0,-138.56,0,99,68.11,1.0,184.16,48.01,0.298,2.794,0.44,192.47
similar,scaled_0.75,21,2724,1.0,-138.56,0,99,50.4,1.0,184.72,48.08,0.3,2.69,0.376,192.47
similar,scaled_0.75,42,2724,1.0,-138.56,0,99,58.3,1.0,184.64,47.46,0.29,2.862,0.346,192.47
similar,selective,7,1356,0.0,-2777.07,0,137,-512.43,1.0,184.07,47.89,0.262,2.89,0.484,192.47
similar,selective,21,1356,0.0,-2777.07,0,126,-499.39,1.0,186.95,48.32,0.264,2.254,0.406,192.47
similar,selective,42,1356,0.0,-2777.07,0,134,-497.11,1.0,185.15,49.61,0.224,2.452,0.368,192.47
different,scratch,7,0,0.0,-3634.07,10,922,-1224.37,1.0,166.81,61.18,0.368,3.586,0.2,179.78
different,scratch,21,0,0.0,-3634.07,22,816,-1231.41,0.994,150.43,71.36,0.42,4.41,0.326,179.78
different,scratch,42,0,0.0,-3634.07,29,810,-1245.65,0.998,158.66,66.12,0.374,4.062,0.334,179.78
different,full,7,2724,0.0,-3572.95,8,665,-1128.04,1.0,159.46,67.52,0.386,3.664,0.42,179.78
different,full,21,2724,0.0,-3572.95,11,737,-1079.06,1.0,163.03,66.23,0.394,3.188,0.434,179.78
different,full,42,2724,0.0,-3572.95,12,672,-1068.86,1.0,160.96,66.74,0.522,3.196,0.548,179.78
different,scaled_0.25,7,2724,0.0,-3572.95,15,498,-1033.39,1.0,162.03,69.07,0.422,2.786,0.372,179.78
different,scaled_0.25,21,2724,0.0,-3572.95,4,550,-970.11,0.996,147.01,76.56,0.596,3.74,0.382,179.78
different,scaled_0.25,42,2724,0.0,-3572.95,9,452,-994.93,0.994,143.3,79.77,0.546,3.95,0.154,179.78
different,scaled_0.5,7,2724,0.0,-3572.95,11,434,-1053.68,0.998,159.02,68.63,0.404,3.444,0.342,179.78
different,scaled_0.5,21,2724,0.0,-3572.95,17,501,-1045.37,1.0,166.46,65.49,0.336,2.798,0.352,179.78
different,scaled_0.5,42,2724,0.0,-3572.95,2,498,-1046.38,0.998,162.14,67.04,0.408,3.17,0.194,179.78
different,scaled_0.75,7,2724,0.0,-3572.95,24,591,-1031.16,0.998,155.47,71.21,0.536,3.436,0.138,179.78
different,scaled_0.75,21,2724,0.0,-3572.95,3,630,-1088.04,1.0,162.21,67.34,0.442,2.948,0.648,179.78
different,scaled_0.75,42,2724,0.0,-3572.95,2,646,-1010.16,1.0,159.21,68.65,0.534,3.086,0.686,179.78
different,selective,7,672,0.0,-3539.25,2,572,-1138.38,0.986,142.84,76.27,0.434,4.472,0.344,179.78
different,selective,21,672,0.0,-3539.25,126,517,-1129.66,1.0,157.67,68.25,0.424,3.846,0.306,179.78
different,selective,42,672,0.0,-3539.25,17,467,-1131.49,1.0,156.47,67.54,0.482,4.072,0.404,179.78
